,Key,Hold Latency,Inter-key Latency,Press Latency,Release Latency
0,65,0.114,0.035,0.149,0.148
1,76,0.113,0.043000000000000003,0.156,0.177
2,65,0.134,0.062,0.196,0.176
3,32,0.114,0.322,0.436,0.456
4,66,0.134,-0.063,0.07100000000000001,0.074
5,65,0.137,0.014,0.151,0.164
6,76,0.15,0.038,0.188,0.253
7,65,0.215,0.10300000000000001,0.318,0.221
8,32,0.11800000000000001,0.156,0.274,0.289
9,80,0.133,0.153,0.28600000000000003,0.251
10,79,0.098,0.505,0.603,0.584
11,82,0.079,0.153,0.232,0.23800000000000002
12,84,0.085,0.043000000000000003,0.128,0.138
13,79,0.095,0.068,0.163,0.181
14,67,0.113,-0.04,0.073,0.07200000000000001
15,65,0.112,0.021,0.133,0.111
16,76,0.09,0.074,0.164,0.181
17,65,0.107,0.059000000000000004,0.166,0.138
18,32,0.079,0.095,0.17400000000000002,0.184
19,77,0.089,0.004,0.093,0.116
20,65,0.112,0.004,0.116,0.055
21,32,0.051000000000000004,0.126,0.177,0.203
22,73,0.077,0.027,0.10400000000000001,0.098
23,69,0.07100000000000001,0.023,0.094,0.133
24,73,0.11,0.076,0.186,0.179
25,32,0.10300000000000001,0.017,0.12,0.099
26,68,0.082,0.003,0.085,0.055
27,69,0.052000000000000005,0.017,0.069,0.137
28,32,0.12,0.134,0.254,0.269
29,80,0.135,-0.066,0.069,0.046
30,76,0.112,30.591,30.703,30.733
31,77,0.14200000000000002,-0.024,0.11800000000000001,0.073
32,73,0.097,0.112,0.209,0.219
33,76,0.107,0.07200000000000001,0.179,0.203
34,66,0.131,-0.054,0.077,0.08600000000000001
35,69,0.14,-0.011,0.129,0.067
