Key,Hold Latency,Inter-key Latency,Press Latency,Release Latency
A,114,35,149,148
L,113,43,156,177
A,134,62,196,176
Space,114,322,436,456
B,134,-63,71,74
A,137,14,151,164
L,150,38,188,253
A,215,103,318,221
Space,118,156,274,289
P,133,153,286,251
O,98,505,603,584
R,79,153,232,238
T,85,43,128,138
O,95,68,163,181
C,113,-40,73,72
A,112,21,133,111
L,90,74,164,181
A,107,59,166,138
Space,79,95,174,184
M,89,4,93,116
A,112,4,116,55
Space,51,126,177,203
I,77,27,104,98
E,71,23,94,133
I,110,76,186,179
Space,103,17,120,99
D,82,3,85,55
E,52,17,69,137
Space,120,134,254,269
P,135,-66,69,46
L,112,30591,30703,30733
M,142,-24,118,73
I,97,112,209,219
L,107,72,179,203
B,131,-54,77,86
E,140,-11,129,67
